timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673431529936,6290,HTTP Request,200,OK,AchomkaOffer 1-290,text,true,,2784,114,331,331,https://carnesia.com/,6290,0,5963
1673431530101,6125,HTTP Request,200,OK,AchomkaOffer 1-347,text,true,,2786,114,331,331,https://carnesia.com/,6123,0,5784
1673431529899,6328,HTTP Request,200,OK,AchomkaOffer 1-298,text,true,,2778,114,329,329,https://carnesia.com/,6328,0,6011
1673431530084,6143,HTTP Request,200,OK,AchomkaOffer 1-36,text,true,,2787,114,329,329,https://carnesia.com/,6143,0,5821
1673431529942,6285,HTTP Request,200,OK,AchomkaOffer 1-226,text,true,,2786,114,329,329,https://carnesia.com/,6285,0,5965
1673431530246,5982,HTTP Request,200,OK,AchomkaOffer 1-491,text,true,,2778,114,328,328,https://carnesia.com/,5982,0,5674
1673431530119,6109,HTTP Request,200,OK,AchomkaOffer 1-390,text,true,,2780,114,328,328,https://carnesia.com/,6109,0,5798
1673431530406,5822,HTTP Request,200,OK,AchomkaOffer 1-826,text,true,,2790,114,328,328,https://carnesia.com/,5822,0,5498
1673431530491,5737,HTTP Request,200,OK,AchomkaOffer 1-727,text,true,,2782,114,328,328,https://carnesia.com/,5737,0,5423
1673431529926,6302,HTTP Request,200,OK,AchomkaOffer 1-274,text,true,,2778,114,328,328,https://carnesia.com/,6302,0,5989
1673431530343,5887,HTTP Request,200,OK,AchomkaOffer 1-469,text,true,,2780,114,321,321,https://carnesia.com/,5887,0,5598
1673431530226,6004,HTTP Request,200,OK,AchomkaOffer 1-454,text,true,,2786,114,321,321,https://carnesia.com/,6004,0,5684
1673431529913,6317,HTTP Request,200,OK,AchomkaOffer 1-258,text,true,,2790,114,321,321,https://carnesia.com/,6317,0,6007
1673431530233,5997,HTTP Request,200,OK,AchomkaOffer 1-470,text,true,,2784,114,321,321,https://carnesia.com/,5997,0,5694
1673431530676,5557,HTTP Request,200,OK,AchomkaOffer 1-863,text,true,,2788,114,317,317,https://carnesia.com/,5555,0,5251
1673431530469,5765,HTTP Request,200,OK,AchomkaOffer 1-691,text,true,,2784,114,317,317,https://carnesia.com/,5762,0,5456
1673431530305,5930,HTTP Request,200,OK,AchomkaOffer 1-433,text,true,,2786,114,315,315,https://carnesia.com/,5930,0,5631
1673431529901,6334,HTTP Request,200,OK,AchomkaOffer 1-129,text,true,,2783,114,315,315,https://carnesia.com/,6334,0,6038
1673431530388,5847,HTTP Request,200,OK,AchomkaOffer 1-558,text,true,,2776,114,315,315,https://carnesia.com/,5846,0,5533
1673431529900,6335,HTTP Request,200,OK,AchomkaOffer 1-195,text,true,,2784,114,315,315,https://carnesia.com/,6335,0,6030
1673431529948,6288,HTTP Request,200,OK,AchomkaOffer 1-202,text,true,,2780,114,313,313,https://carnesia.com/,6283,0,5988
1673431529904,6332,HTTP Request,200,OK,AchomkaOffer 1-100,text,true,,2778,114,313,313,https://carnesia.com/,6332,0,6038
1673431530466,5771,HTTP Request,200,OK,AchomkaOffer 1-633,text,true,,2780,114,313,313,https://carnesia.com/,5770,0,5468
1673431530496,5741,HTTP Request,200,OK,AchomkaOffer 1-710,text,true,,2777,114,311,311,https://carnesia.com/,5741,0,5452
1673431529929,6308,HTTP Request,200,OK,AchomkaOffer 1-283,text,true,,2784,114,311,311,https://carnesia.com/,6308,0,6030
1673431529975,6263,HTTP Request,200,OK,AchomkaOffer 1-161,text,true,,2786,114,309,309,https://carnesia.com/,6263,0,5988
1673431530720,5519,HTTP Request,200,OK,AchomkaOffer 1-944,text,true,,2779,114,307,307,https://carnesia.com/,5519,0,5232
1673431530416,5824,HTTP Request,200,OK,AchomkaOffer 1-607,text,true,,2782,114,307,307,https://carnesia.com/,5823,0,5543
1673431530358,5882,HTTP Request,200,OK,AchomkaOffer 1-488,text,true,,2780,114,307,307,https://carnesia.com/,5882,0,5573
1673431529910,6338,HTTP Request,200,OK,AchomkaOffer 1-55,text,true,,2794,114,304,304,https://carnesia.com/,6338,0,6052
1673431530393,5856,HTTP Request,200,OK,AchomkaOffer 1-497,text,true,,2780,114,304,304,https://carnesia.com/,5856,0,5579
1673431530568,5681,HTTP Request,200,OK,AchomkaOffer 1-818,text,true,,2782,114,304,304,https://carnesia.com/,5681,0,5384
1673431530621,5629,HTTP Request,200,OK,AchomkaOffer 1-910,text,true,,2786,114,301,301,https://carnesia.com/,5619,0,5346
1673431530696,5554,HTTP Request,200,OK,AchomkaOffer 1-901,text,true,,2780,114,301,301,https://carnesia.com/,5554,0,5272
1673431530528,5722,HTTP Request,200,OK,AchomkaOffer 1-674,text,true,,2782,114,301,301,https://carnesia.com/,5720,0,5427
1673431530470,5780,HTTP Request,200,OK,AchomkaOffer 1-698,text,true,,2786,114,301,301,https://carnesia.com/,5770,0,5491
1673431530714,5536,HTTP Request,200,OK,AchomkaOffer 1-966,text,true,,2784,114,301,301,https://carnesia.com/,5536,0,5234
1673431530112,6146,HTTP Request,200,OK,AchomkaOffer 1-236,text,true,,2788,114,299,299,https://carnesia.com/,6146,0,5874
1673431530497,5762,HTTP Request,200,OK,AchomkaOffer 1-715,text,true,,2790,114,298,298,https://carnesia.com/,5762,0,5495
1673431530245,6014,HTTP Request,200,OK,AchomkaOffer 1-336,text,true,,2788,114,297,297,https://carnesia.com/,6014,0,5738
1673431530462,5798,HTTP Request,200,OK,AchomkaOffer 1-663,text,true,,2786,114,294,294,https://carnesia.com/,5798,0,5536
1673431530503,5757,HTTP Request,200,OK,AchomkaOffer 1-755,text,true,,2782,114,294,294,https://carnesia.com/,5757,0,5475
1673431530528,5732,HTTP Request,200,OK,AchomkaOffer 1-656,text,true,,2789,114,294,294,https://carnesia.com/,5732,0,5198
1673431530486,5774,HTTP Request,200,OK,AchomkaOffer 1-731,text,true,,2784,114,293,293,https://carnesia.com/,5774,0,5494
1673431529928,6333,HTTP Request,200,OK,AchomkaOffer 1-282,text,true,,2782,114,291,291,https://carnesia.com/,6333,0,6056
1673431529916,6345,HTTP Request,200,OK,AchomkaOffer 1-134,text,true,,2788,114,291,291,https://carnesia.com/,6345,0,5905
1673431530532,5729,HTTP Request,200,OK,AchomkaOffer 1-786,text,true,,2780,114,291,291,https://carnesia.com/,5729,0,5443
